date,OT,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0_TO_4,AGE_5_TO_24,ILITOTAL,NUM_OF_PROVIDERS
2002/1/1 0:00,176569,1.22262,1.16668,582,805,2060,754
2002/1/8 0:00,186355,1.33344,1.2165,683,872,2267,785
2002/1/15 0:00,192469,1.31929,1.13057,642,878,2176,831
2002/1/22 0:00,207512,1.49484,1.25246,728,1045,2599,863
2002/1/29 0:00,223208,1.47195,1.30237,823,1189,2907,909
2002/2/5 0:00,229454,1.58094,1.40551,887,1272,3225,930
2002/2/12 0:00,223712,1.49426,1.38437,851,1173,3097,923
2002/2/19 0:00,223818,1.40569,1.32563,802,1166,2967,922
2002/2/26 0:00,188814,1.6141,1.43475,834,978,2709,918
2002/3/5 0:00,243078,1.45967,1.25433,857,1117,3049,937
2002/3/12 0:00,235136,1.59896,1.25757,804,1179,2957,928
2002/3/19 0:00,216179,2.16697,1.58017,951,1404,3416,908
2002/3/26 0:00,144287,2.57842,1.98008,915,937,2857,865
2002/4/2 0:00,171193,2.38636,1.90428,1028,1019,3260,879
2002/4/9 0:00,234513,1.73621,1.5901,1068,1296,3729,926
2002/4/16 0:00,231550,2.06296,1.81559,1154,1798,4204,902
2002/4/23 0:00,235566,2.58113,2.41801,1373,2998,5696,927
2002/4/30 0:00,246969,2.93909,2.86635,1411,4064,7079,884
2002/5/7 0:00,245751,3.22539,3.16662,1606,4447,7782,889
2002/5/14 0:00,253656,3.06982,3.0155,1568,4224,7649,903
2002/5/21 0:00,241110,3.20044,2.9978,1694,3689,7228,871
2002/5/28 0:00,241683,2.44888,2.31957,1336,2583,5606,857
2002/6/4 0:00,228549,2.1344,1.94707,1015,2103,4450,839
2002/6/11 0:00,220250,1.99866,1.72985,880,1669,3810,835
2002/6/18 0:00,196724,1.93849,1.51837,737,1321,2987,795
2002/6/25 0:00,198913,1.41293,1.22616,624,1016,2439,775
2002/7/2 0:00,192349,1.23472,1.05433,506,846,2028,741
2002/7/9 0:00,194383,1.20005,1.07108,569,799,2082,735
2002/7/16 0:00,177577,0.910135,0.82612,440,539,1467,669
2002/7/23 0:00,176111,0.932265,0.820505,429,508,1445,682
2002/7/30 0:00,170406,0.692175,0.630846,275,444,1075,655
2002/8/6 0:00,157191,0.669406,0.63935,215,471,1005,613
2002/8/13 0:00,142514,0.727705,0.586609,248,283,836,547
2002/8/20 0:00,95728,0.717701,0.773024,264,262,740,406
2002/8/27 0:00,81063,0.789394,0.790743,213,205,641,393
2002/9/3 0:00,79090,0.722129,0.711847,201,195,563,344
2002/9/10 0:00,78023,0.591326,0.794637,198,187,620,341
2002/9/17 0:00,72110,0.52307,0.586604,139,123,423,322
2002/9/24 0:00,71593,0.450236,0.615982,122,124,441,322
2002/10/1 0:00,64699,0.397421,0.491507,109,91,318,310
2002/10/8 0:00,72972,0.448002,0.604341,137,141,441,308
2002/10/15 0:00,69593,0.474767,0.524478,98,98,365,301
2002/10/22 0:00,71103,0.453251,0.590692,112,139,420,302
2002/10/29 0:00,71466,0.352158,0.505135,100,120,361,290
2002/11/5 0:00,69844,0.525322,0.634271,136,125,443,295
2002/11/12 0:00,69003,0.492991,0.610118,120,131,421,283
2002/11/19 0:00,70178,0.542728,0.641227,159,144,450,277
2002/11/26 0:00,70000,0.490347,0.661429,166,155,463,276
2002/12/3 0:00,65474,0.735914,0.792681,177,182,519,271
2002/12/10 0:00,74328,0.581771,0.639059,145,184,475,267
2002/12/17 0:00,72401,0.654162,0.636732,136,183,461,264
2002/12/24 0:00,71273,0.749504,0.747829,135,221,533,268
2002/12/31 0:00,254144,0.884021,0.960873,808,881,2442,830
2003/1/7 0:00,281045,1.02773,1.04325,913,1132,2932,931
2003/1/14 0:00,287436,1.28296,1.0545,878,1147,3031,974
2003/1/21 0:00,312412,1.32661,1.11231,1006,1369,3475,1007
2003/1/28 0:00,331980,1.77304,1.41274,1207,2080,4690,1074
2003/2/4 0:00,335258,2.43814,1.72703,1542,2735,5790,1111
2003/2/11 0:00,348359,2.72605,2.407,2185,4133,8385,1141
2003/2/18 0:00,358275,3.73192,3.10962,2561,5684,11141,1129
2003/2/25 0:00,272576,4.54894,4.30779,3247,4933,11742,1118
2003/3/4 0:00,392274,5.39906,4.8303,4734,7817,18948,1189
2003/3/11 0:00,388269,7.38735,6.42905,6620,11550,24962,1173
2003/3/18 0:00,345097,7.48097,6.86734,6434,9851,23699,1148
2003/3/25 0:00,232344,7.62797,7.06496,5336,5231,16415,1122
2003/4/1 0:00,248992,5.14051,4.55115,3391,2894,11332,1139
2003/4/8 0:00,314349,2.89129,2.41833,1930,2299,7602,1160
2003/4/15 0:00,308614,2.10429,1.80906,1679,1857,5583,1141
2003/4/22 0:00,289774,1.88696,1.71202,1721,1604,4961,1084
2003/4/29 0:00,287586,1.7766,1.5425,1487,1543,4436,1071
2003/5/6 0:00,295646,1.46001,1.43787,1454,1448,4251,1054
2003/5/13 0:00,288762,1.37787,1.32427,1420,1297,3824,986
2003/5/20 0:00,282347,1.30532,1.30726,1301,1255,3691,1004
2003/5/27 0:00,281202,1.08691,1.03698,956,1038,2916,948
2003/6/3 0:00,271597,0.991888,1.01032,925,910,2744,894
2003/6/10 0:00,257294,1.02765,1.05249,878,888,2708,897
2003/6/17 0:00,243802,1.0579,1.02009,730,826,2487,849
2003/6/24 0:00,248805,0.849361,0.924419,760,733,2300,859
2003/7/1 0:00,234998,0.747127,0.790645,610,611,1858,828
2003/7/8 0:00,212432,0.661708,0.80261,583,566,1705,774
2003/7/15 0:00,209178,0.679514,0.83613,545,573,1749,755
2003/7/22 0:00,203802,0.633071,0.792436,501,511,1615,679
2003/7/29 0:00,194708,0.569894,0.683588,470,404,1331,658
2003/8/5 0:00,184038,0.591357,0.757452,435,491,1394,629
2003/8/12 0:00,168276,0.589044,0.788585,449,443,1327,599
2003/8/19 0:00,155386,0.67864,0.812171,451,380,1262,553
2003/8/26 0:00,133008,0.637558,0.804463,375,349,1070,463
2003/9/2 0:00,120884,0.813309,0.877701,391,308,1061,452
2003/9/9 0:00,133117,0.834551,0.741453,355,309,987,443
2003/9/16 0:00,128740,0.616174,0.661022,307,240,851,426
2003/9/23 0:00,124037,0.513286,0.715109,277,284,887,423
2003/9/30 0:00,124146,0.351881,0.562241,238,183,698,408
2003/10/7 0:00,90238,0.542621,0.786808,233,205,710,381
