date,OT,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0_TO_4,AGE_5_TO_24,ILITOTAL,NUM_OF_PROVIDERS
2002/1/1 0:00,,,,,,,754
2002/1/8 0:00,,1.33344,1.2165,,,,
2002/1/15 0:00,192469,,,,,,
2002/1/22 0:00,,,,,1045,,863
2002/1/29 0:00,223208,1.47195,1.30237,823,1189,,
2002/2/5 0:00,,1.58094,,,1272,,
2002/2/12 0:00,223712,1.49426,,851,,,
2002/2/19 0:00,,1.40569,,802,,2967,922
2002/2/26 0:00,,,,834,,2709,
2002/3/5 0:00,243078,1.45967,1.25433,857,,,
2002/3/12 0:00,,,1.25757,804,,,
2002/3/19 0:00,216179,2.16697,,,,3416,
2002/3/26 0:00,144287,2.57842,1.98008,915,,,865
2002/4/2 0:00,,2.38636,,,,3260,
2002/4/9 0:00,234513,,1.5901,,,3729,
2002/4/16 0:00,,,1.81559,,,,
2002/4/23 0:00,,,,,,5696,927
2002/4/30 0:00,,,,,,,884
2002/5/7 0:00,,,3.16662,1606,4447,,889
2002/5/14 0:00,253656,,3.0155,,4224,,903
2002/5/21 0:00,,3.20044,,,3689,7228,871
2002/5/28 0:00,,2.44888,2.31957,,,5606,857
2002/6/4 0:00,228549,2.1344,1.94707,,2103,,839
2002/6/11 0:00,,,,880,,,
2002/6/18 0:00,196724,,,737,,,795
2002/6/25 0:00,198913,1.41293,1.22616,,,2439,
2002/7/2 0:00,192349,,,,846,2028,
2002/7/9 0:00,,1.20005,,,799,2082,735
2002/7/16 0:00,177577,0.910135,,,,,
2002/7/23 0:00,176111,,,429,,1445,
2002/7/30 0:00,,,,,,,655
2002/8/6 0:00,,,,,,,613
2002/8/13 0:00,,0.727705,,,,,
2002/8/20 0:00,95728,0.717701,,,,,406
2002/8/27 0:00,81063,,,213,205,,393
2002/9/3 0:00,,0.722129,0.711847,201,195,563,
2002/9/10 0:00,78023,,0.794637,198,,,
2002/9/17 0:00,,0.52307,,139,,,
2002/9/24 0:00,,,,,,441,322
2002/10/1 0:00,64699,,0.491507,,91,,310
2002/10/8 0:00,,,,,141,441,
2002/10/15 0:00,,0.474767,,98,98,365,
2002/10/22 0:00,,0.453251,,,,420,
2002/10/29 0:00,,0.352158,,,,,290
2002/11/5 0:00,69844,,0.634271,,,,
2002/11/12 0:00,69003,,,,,421,
2002/11/19 0:00,70178,0.542728,0.641227,,,,277
2002/11/26 0:00,,0.490347,0.661429,,,463,
2002/12/3 0:00,,,0.792681,,,,
2002/12/10 0:00,,,,,,,267
2002/12/17 0:00,,,0.636732,,,,264
2002/12/24 0:00,71273,,0.747829,,,,
2002/12/31 0:00,254144,0.884021,0.960873,,881,2442,830
2003/1/7 0:00,,,1.04325,,1132,2932,
2003/1/14 0:00,,,,878,,,
2003/1/21 0:00,312412,,,,,,
2003/1/28 0:00,,,,,2080,4690,1074
2003/2/4 0:00,335258,,1.72703,1542,,5790,
2003/2/11 0:00,,2.72605,,,4133,8385,
2003/2/18 0:00,,,,2561,,,
2003/2/25 0:00,,4.54894,,,4933,,
2003/3/4 0:00,,,4.8303,4734,,,
2003/3/11 0:00,,,,,,24962,
2003/3/18 0:00,,7.48097,,,,23699,1148
2003/3/25 0:00,232344,7.62797,,,,,1122
2003/4/1 0:00,,,,,2894,11332,
2003/4/8 0:00,,,,,2299,,1160
2003/4/15 0:00,,,1.80906,,,,
2003/4/22 0:00,289774,,,,,4961,
2003/4/29 0:00,287586,1.7766,1.5425,,1543,4436,
2003/5/6 0:00,,,,1454,,,1054
2003/5/13 0:00,288762,1.37787,,1420,1297,3824,
2003/5/20 0:00,,1.30532,,,,,
2003/5/27 0:00,281202,1.08691,1.03698,956,1038,2916,
2003/6/3 0:00,,,,,,,894
2003/6/10 0:00,,1.02765,1.05249,,888,,
2003/6/17 0:00,,,1.02009,730,826,,849
2003/6/24 0:00,248805,0.849361,,760,,2300,859
2003/7/1 0:00,,0.747127,0.790645,610,,1858,828
2003/7/8 0:00,212432,,,583,566,,
2003/7/15 0:00,209178,,0.83613,,,,
2003/7/22 0:00,203802,,,,,,679
2003/7/29 0:00,194708,,,470,404,,658
2003/8/5 0:00,184038,,,,491,1394,
2003/8/12 0:00,,,,,443,,599
2003/8/19 0:00,,0.67864,,,380,,
2003/8/26 0:00,,,0.804463,,,1070,
2003/9/2 0:00,120884,0.813309,0.877701,,308,1061,452
2003/9/9 0:00,133117,,0.741453,355,309,,443
2003/9/16 0:00,,0.616174,,307,240,,
2003/9/23 0:00,,,0.715109,,284,,
2003/9/30 0:00,,,,,,,
2003/10/7 0:00,,0.542621,,,,,
2003/10/14 0:00,,,0.860658,,,,
2003/10/21 0:00,,,,,,,
2003/10/28 0:00,92216,0.61209,,,230,,
2003/11/4 0:00,,,0.628144,213,,733,
2003/11/11 0:00,,0.519987,,,256,,
2003/11/18 0:00,,0.574476,0.806443,,256,,
2003/11/25 0:00,91326,,,,,,333
2003/12/2 0:00,96656,0.614691,,279,358,960,
2003/12/9 0:00,104207,,0.876141,,,913,
2003/12/16 0:00,,0.723016,,,,,341
2003/12/23 0:00,117483,,,322,,1089,
2003/12/30 0:00,,,,,382,,364
2004/1/6 0:00,,,0.897159,877,,3171,
2004/1/13 0:00,,1.01821,,1071,,3631,1187
2004/1/20 0:00,378094,,,1240,,,
2004/1/27 0:00,380921,,,,1671,,
2004/2/3 0:00,,,,,,,
2004/2/10 0:00,,,1.30517,,,4969,1344
2004/2/17 0:00,,,1.28699,1531,,,1336
2004/2/24 0:00,,1.73975,,1490,1678,,
2004/3/2 0:00,387004,1.56894,,,,,1369
2004/3/9 0:00,,,1.44996,,,5428,
2004/3/16 0:00,355806,,,,,,
2004/3/23 0:00,,2.37626,,,,5689,1288
2004/3/30 0:00,283617,,,2252,,7279,
2004/4/6 0:00,,2.40064,,2010,2450,,1383
2004/4/13 0:00,,,,,,8323,
2004/4/20 0:00,,,,,,,
2004/4/27 0:00,405254,,,,,,
2004/5/4 0:00,,4.58591,3.98061,3086,7650,16192,
2004/5/11 0:00,,5.05809,,,8854,,1324
2004/5/18 0:00,,,4.75197,3834,,,1330
2004/5/25 0:00,,4.4729,,,6759,16630,1280
2004/6/1 0:00,,3.6752,3.45359,2997,,13234,
2004/6/8 0:00,,,,,,11601,
2004/6/15 0:00,,2.76224,2.6732,,,9502,1185
2004/6/22 0:00,335940,,,2145,2771,,
2004/6/29 0:00,,2.00081,1.89243,,,,
2004/7/6 0:00,,1.54319,,1422,1737,4816,1048
2004/7/13 0:00,314948,,,,1603,,
2004/7/20 0:00,,,,1096,,3825,
2004/7/27 0:00,302065,1.21854,,,1411,,
2004/8/3 0:00,277120,,1.07895,,,,
2004/8/10 0:00,,,,979,,,
2004/8/17 0:00,,,,805,,2531,
2004/8/24 0:00,194550,1.07888,,,,,
2004/8/31 0:00,,,,,,,
